Type,Tipo
Amount exceeds POS Profile cash movement max amount.,El monto excede el monto máximo de movimiento de efectivo del perfil POS.
Amount exceeds profile cash movement max amount.,El monto excede el monto máximo de movimiento de efectivo del perfil.
Amount received from customer,Monto recibido del cliente
Apply,Aplicar
Apps,Aplicaciones
Are you sure you want to close? All entered data will be lost.,¿Está seguro de que desea cerrar? Todos los datos ingresados se perderán.
Attributes (Size/Color),Atributos (Tamaño/Color)
Available:,Disponible:
Average Basket,Promedio de Carrito
Average Bill,Factura Promedio
Average Ticket,Ticket Promedio
Avg Bill,Promedio Factura
Avg Invoice,Factura Promedio
Avg Invoice Profit,Ganancia Promedio por Factura
Avg Invoice Value,Valor Promedio de Factura
Avg Purchase Frequency,Frecuencia de Compra Promedio
Awesome,Increíble
Awesome Dashboard,Panel Awesome
Awesome Dashboard is disabled in POS Settings.,El Panel Awesome está deshabilitado en la configuración de POS.
Awesome Dashboard is disabled in global settings or for the selected scope.,El Panel Awesome está deshabilitado en configuración global o para el alcance seleccionado.
Back Office Cash Account,Cuenta de Efectivo de Oficina
Back Office Cash Account (Optional Override),Cuenta de Efectivo de Oficina (Anulación Opcional)
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,La cuenta de efectivo de oficina está fijada por el perfil POS y no puede ser anulada.
Back Office Cash Account is required for cash deposit.,Se requiere cuenta de efectivo de oficina para depósito en efectivo.
Back office cash account is required.,Se requiere cuenta de efectivo de oficina.
Background Submission Failed,Envío en Segundo Plano Fallido
Background sync interval (seconds),Intervalo de sincronización en segundo plano (segundos)
Balances still pending,Saldos todavía pendientes
Barcode Label Printing,Impresión de Etiquetas de Código de Barras
Barcode {0} already exists.,El código de barras {0} ya existe.
Basic Information,Información Básica
Batch Information,Información de Lote
Before any return workflow,Antes de cualquier flujo de devolución
Before returns,Antes de devoluciones
Best Day,Mejor Día
Best Seller,Mejor Vendedor
Book expense or deposit from active shift.,Registrar gasto o depósito del turno activo.
Branch / Location-wise Report,Informe por Sucursal/Ubicación
Branches,Sucursales
Brand-wise,Por Marca
Breakdown,Desglose
Build Time:,Tiempo de Construcción:
Built with Frappe,Construido con Frappe
Bundle,Paquete
COGS,COGS
CPU Cores:,Núcleos de CPU:
CPU Load,Carga de CPU
Cache Usage,Uso de Caché
Cache cleared successfully,Caché limpiada exitosamente
Camera Access Required,Acceso a Cámara Requerido
Camera access was aborted. Please try again.,El acceso a la cámara fue abortado. Por favor intente de nuevo.
Cancel Payment,Cancelar Pago
Cancel Sale,Cancelar Venta
Cancelled,Cancelado
Cancelling submitted cash movements is disabled for this POS Profile.,Cancelar movimientos de efectivo enviados está deshabilitado para este perfil POS.
Cannot Save Offline Invoice: ,No se puede guardar factura offline:
Cannot Save Offline Payment: ,No se puede guardar pago offline:
Cannot clear cache while offline,No se puede limpiar caché mientras está offline
Cannot redeem customer credit more than invoice total,No se puede canjear crédito del cliente más que el total de la factura
Cards,Tarjetas
Cash Deposit is disabled for this POS Profile.,El depósito en efectivo está deshabilitado para este perfil POS.
Cash Drawer Snapshot,Instantánea de Cajón de Efectivo
Cash In Hand,Efectivo en Mano
Cash Movement is disabled for this POS Profile.,El movimiento de efectivo está deshabilitado para este perfil POS.
Cash Movement is disabled in current POS Profile.,El movimiento de efectivo está deshabilitado en el perfil POS actual.
Cash Movements,Movimientos de Efectivo
Cash back to customers,Efectivo de vuelta a clientes
Cash movement cancelled,Movimiento de efectivo cancelado
Cash movement deduction applied,Descuento de movimiento de efectivo aplicado
Cash movement deleted,Movimiento de efectivo eliminado
Cash movement is disabled for this POS Profile.,El movimiento de efectivo está deshabilitado para este perfil POS.
Cash movement saved offline,Movimiento de efectivo guardado offline
Cash movement submitted,Movimiento de efectivo enviado
Cashiers,Cajeros
Category / Brand / Variant Report,Informe por Categoría/Marca/Variante
Category-wise,Por Categoría
Category-wise Margin,Margen por Categoría
Certificate is missing or not trusted. QZ may show confirmation dialogs.,El certificado falta o no es de confianza. QZ puede mostrar diálogos de confirmación.
Certificate is trusted. Silent QZ printing is active.,El certificado es de confianza. La impresión silenciosa de QZ está activa.
Change Price,Cambiar Precio
Change Return,Cambiar Devolución
Change Returned,Cambio Devuelto
Charge Heads,Cabeceras de Cargo
Charges not found,Cargos no encontrados
Check for new commits,Verificar nuevos commits
City,Ciudad
Clear,Limpiar
Clear Search,Limpiar Búsqueda
Clearing local cache...,Limpiando caché local...
Click to refresh,Haz clic para actualizar
Client CPU Lag:,Retraso de CPU del Cliente:
Client Memory Usage:,Uso de Memoria del Cliente:
Client Metrics,Métricas del Cliente
Close Scanner,Cerrar Escáner
Closing Snapshot Available,Instantánea de Cierre Disponible
Code,Código
Code scanned successfully,Código escaneado exitosamente
Cols,Columnas
Columns,Columnas
Company,Empresa
Company is required.,Se requiere empresa.
Company must match the selected POS Opening Shift company.,La empresa debe coincidir con la empresa del turno de apertura POS seleccionado.
Company must match the selected POS Profile company.,La empresa debe coincidir con la empresa del perfil POS seleccionado.
Completed returns will appear here.,Las devoluciones completadas aparecerán aquí.
Confirm Close,Confirmar Cierre
Confirm Mobile Number,Confirmar Número de Móvil
Connect printer and manage certificate,Conectar impresora y gestionar certificado
Connecting to QZ Tray...,Conectando a QZ Tray...
Context is required,Se requiere contexto
Continue Editing,Continuar Editando
Cost Center is not set in pos profile {},Centro de costos no establecido en perfil POS {}
Could not fetch latest balance from server,No se pudo obtener el último saldo del servidor
Count,Conteo
Country,País
Coupon,Cupón
Coupons,Cupones
Cover,Cubrir
Create Customer,Crear Cliente
Create items,Crear artículos
Create suppliers,Crear proveedores
Credit Note {0} has no remaining balance to allocate.,La nota de crédito {0} no tiene saldo restante para asignar.
Credit Outstanding,Crédito Pendiente
Credit and Output,Crédito y Salida
Credit note {0} is already fully allocated,La nota de crédito {0} ya está totalmente asignada
Credit note {0} still has an unapplied balance of {1},La nota de crédito {0} todavía tiene un saldo sin aplicar de {1}
Credit sales remaining to be collected,Ventas a crédito pendientes de cobrar
Critical,Crítico
Custom Due Days,Días de Vencimiento Personalizados
Custom items per page,Artículos personalizados por página
Customer Balance,Saldo del Cliente
Customer Name is required,Se requiere nombre del cliente
Customer Screen,Pantalla del Cliente
Customer already selected,Cliente ya seleccionado
Customer balance unavailable offline,Saldo del cliente no disponible offline
Customer created successfully.,Cliente creado exitosamente.
Customer creation failed.,Falló la creación del cliente.
Customer display channel is missing,Falta el canal de visualización del cliente
Customer group is required,Se requiere grupo de clientes
Customer is required to add payment,Se requiere cliente para agregar pago
Customer not selected,Cliente no seleccionado
Customer saved offline,Cliente guardado offline
Customer territory is required,Se requiere territorio del cliente
Customer updated successfully.,Cliente actualizado exitosamente.
Customers not found,Clientes no encontrados
Daily Sales Summary,Resumen de Ventas Diarias
Database Health,Salud de la Base de Datos
Database Info,Info de Base de Datos
Database health affects overall system speed and reliability.,El estado de la base de datos afecta la velocidad y confiabilidad general del sistema.
Date,Fecha
Day Δ,Día Δ
Day-wise (MTD),Diario (MTD)
Day-wise Movement,Movimiento Diario
Dead Stock,Stock Muerto
Dead Stock Items,Artículos de Stock Muerto
Default Rate is required,Se requiere tasa predeterminada
Delete Invoice,Eliminar Factura
Deleting cancelled cash movements is disabled for this POS Profile.,Eliminar movimientos de efectivo cancelados está deshabilitado para este perfil POS.
Delivery Charges,Cargos de Entrega
Delivery Information,Información de Entrega
Description,Descripción
Detailed Supplier Breakdown,Desglose Detallado de Proveedor
Difference (In Company Currency),Diferencia (En Moneda de la Empresa)
Discount %,Descuento %
Discount / Void / Return Report,Informe de Descuento/Anulación/Devolución
Discount limited by POS Profile,Descuento limitado por perfil POS
Discounted Invoices,Facturas con Descuento
Draft,Borrador
Enable Customer Display in POS Profile first.,Habilitar pantalla del cliente en perfil POS primero.
Enter a valid grams value,Ingrese un valor válido en gramos
Enter new price list rate,Ingrese nueva tasa de lista de precios
Enter valid grams for scale barcode,Ingrese gramos válidos para código de barras de balanza
Entries,Entradas
Error Loading Data,Error al Cargar Datos
Error calculating prices,Error al calcular precios
Error fetching customer balance,Error al obtener saldo del cliente
Error processing payment,Error al procesar pago
Error searching invoices,Error al buscar facturas
Error submitting invoice: ,Error al enviar la factura: 
Error updating item details,Error al actualizar detalles del artículo
Est. Purchase,Compra Est.
Est. Value,Valor Est.
Event-loop lag measures how busy your browser is. Lower is better.,El retraso del bucle de eventos mide qué tan ocupado está tu navegador. Menos es mejor.
Expected Amount (In Company Currency),Monto Esperado (En Moneda de la Empresa)
Expected Cash,Efectivo Esperado
Expected cash on hand grouped by currency,Efectivo esperado en mano agrupado por moneda
Expense Account (Optional Override),Cuenta de Gastos (Anulación Opcional)
Expense Account is required for expense entries.,Se requiere cuenta de gastos para entradas de gastos.
Expense account is required for POS Expense.,Se requiere cuenta de gastos para gasto POS.
Expense account is required.,Se requiere cuenta de gastos.
Expense target account must match Expense Account.,La cuenta de gastos objetivo debe coincidir con la cuenta de gastos.
Expenses and deposits posted during this shift,Gastos y depósitos registrados durante este turno
Failed to auto reconcile payments.,Falló la conciliación automática de pagos.
Failed to clear cache,Falló al limpiar caché
Failed to generate scale barcode. Using item barcode only.,Falló al generar código de barras de balanza. Usando solo código de barras del artículo.
Failed to load cash movement context.,Falló al cargar contexto de movimiento de efectivo.
Failed to load dashboard data.,Falló al cargar datos del panel.
Failed to reconcile Credit Note {0}: {1},Falló al reconciliar nota de crédito {0}: {1}
Failed to reconcile Journal Entry {0}: {1},Falló al reconciliar asiento {0}: {1}
Failed to reconcile Payment Entry {0}: {1},Falló al reconciliar entrada de pago {0}: {1}
Failed to reload invoice from server,Falló al recargar factura del servidor
Failed to sync offline cash movements,Falló al sincronizar movimientos de efectivo offline
Flash Off,Flash Apagado
Flash On,Flash Encendido
Fulfillment Details,Detalles de Cumplimiento
Full Name,Nombre Completo
Get Payments,Obtener Pagos
Grand Total,Total General
Group not found,Grupo no encontrado
Grouped totals for each payment method and currency,Totales agrupados para cada método de pago y moneda
Hide Non Essential Fields,Ocultar Campos No Esenciales
Hide quantity decimals,Ocultar decimales de cantidad
Hide zero rated items,Ocultar artículos con tasa cero
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importe el certificado a QZ Tray y reinicie QZ Tray en cada máquina POS.
Include Batch / Serial,Incluir Lote / Serial
Include Price,Incluir Precio
IndexedDB,IndexedDB
Initialize your shift with opening balances,Inicie su turno con saldos de apertura
Initializing application...,Inicializando aplicación...
Installed Applications,Aplicaciones Instaladas
Invalid Opening Entry,Entrada de Apertura Inválida
Invalid POS Opening Shift data provided.,Datos de turno de apertura POS inválidos proporcionados.
Invalid Period,Período Inválido
Invalid movement type for journal entry.,Tipo de movimiento inválido para asiento.
Invalid movement type.,Tipo de movimiento inválido.
Invalid posting date.,Fecha de publicación inválida.
Invalid rate,Tarifa inválida
